Date,Cities,City name,Views
2025-07-20,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-07-21,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-07-22,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-07-23,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-07-24,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-07-25,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-07-26,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",30
2025-07-27,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-07-28,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",62
2025-07-29,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",60
2025-07-30,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-07-31,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-08-01,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-08-02,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-08-03,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",22
2025-08-04,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-08-05,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-08-06,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-08-07,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-08-08,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",102
2025-08-09,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-08-10,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
2025-08-11,0x390d047309fff32f:0xfc5606ed1b5d46c3,"Delhi, India",0
